"CUSTOMERNAME","ORDERNUMBER","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER","SALES","ORDERDATE","DAYS_SINCE_LASTORDER","STATUS","PRODUCTLINE","MSRP","PRODUCTCODE","PHONE","ADDRESSLINE1","CITY","POSTALCODE","COUNTRY","CONTACTLASTNAME","CONTACTFIRSTNAME","DEALSIZE","Recency","ORDERNUMBER [Binned]","SALES [Binned]","Recency [Binned]","RECENCY","FREQUENCY","MONETARY","Concatenate"
"AV Stores, Co.",3,34.8627450980392,91.08450980392158,9.019607843137253,157807.80999999997,51,51,"Shipped","Classic Cars",92.84313725490193,"S12_1108","(171) 555-1555","Fauntleroy Circus","Manchester","EC2 5NT","UK","Ashworth","Victoria","Medium",196,"Bin 2","Bin 4","Bin 3","2","2","4","224"
"Alpha Cognac",3,34.35,101.16000000000001,4.950000000000001,70488.44,20,20,"Shipped","Classic Cars",97.14999999999999,"S10_4757","61.77.6555","1 rue Alsace-Lorraine","Toulouse","31000","France","Roulet","Annette","Medium",64,"Bin 2","Bin 1","Bin 1","4","2","1","421"
"Amica Models & Co.",2,32.42307692307693,110.85269230769231,7.615384615384615,94117.26000000002,26,26,"Shipped","Classic Cars",107.65384615384617,"S10_1949","011-4988555","Via Monte Bianco 34","Torino","10100","Italy","Accorti","Paolo","Large",265,"Bin 1","Bin 3","Bin 4","1","1","3","113"
"Anna's Decorations, Ltd",4,31.934782608695638,106.42413043478264,6.4347826086956506,153996.13000000003,46,46,"Shipped","Classic Cars",104.71739130434781,"S10_1949","02 9936 8555","201 Miller Street","North Sydney","2060","Australia","O'Hara","Anna","Small",83,"Bin 4","Bin 4","Bin 2","3","4","4","344"
"Atelier graphique",3,38.57142857142857,92.23857142857143,1.9999999999999998,24179.96,7,7,"Shipped","Motorcycles",95.57142857142857,"S10_2016","40.32.2555","54, rue Royale","Nantes","44000","France","Schmitt","Carine","Medium",188,"Bin 2","Bin 1","Bin 3","2","2","1","221"
"Australian Collectables, Ltd",3,30.65217391304348,90.04173913043479,6.695652173913044,64591.46000000001,23,23,"Shipped","Vintage Cars",88.13043478260869,"S18_1342","61-9-3844-6555","7 Allen Street","Glen Waverly","3150","Australia","Connery","Sean","Medium",22,"Bin 2","Bin 1","Bin 1","4","2","1","421"
"Australian Collectors, Co.",5,35.018181818181816,104.59018181818182,7.036363636363635,200995.40999999997,55,55,"Shipped","Motorcycles",103.52727272727275,"S10_1678","03 9520 4555","636 St Kilda Road","Melbourne","3004","Australia","Ferguson","Peter","Medium",184,"Bin 4","Bin 4","Bin 2","3","4","4","344"
"Australian Gift Network, Co",3,36.333333333333336,110.55399999999999,3.0666666666666664,59469.11999999999,15,15,"Shipped","Classic Cars",111.53333333333335,"S10_1949","61-7-3844-6555","31 Duncan St. West End","South Brisbane","4101","Australia","Calaghan","Tony","Large",119,"Bin 2","Bin 1","Bin 2","3","2","1","321"
"Auto Assoc. & Cie.",2,35.38888888888888,99.48780141843972,8.555555555555554,64834.32000000001,18,18,"Shipped","Classic Cars",100.3888888888889,"S10_1949","30.59.8555","67, avenue de l'Europe","Versailles","78000","France","Tonini","Daniel","Large",233,"Bin 1","Bin 1","Bin 4","1","1","1","111"
"Auto Canal Petit",3,37.07407407407408,94.25518518518518,6.333333333333333,93170.65999999999,27,27,"Shipped","Motorcycles",94.85185185185186,"S10_1678","(1) 47.55.6555","25, rue Lauriston","Paris","75016","France","Perrier","Dominique","Medium",54,"Bin 2","Bin 3","Bin 1","4","2","3","423"
